"VisitID","TreeID","Score","Date","Year","TreeForm","Girth_cm"
2826,"1621",">1","2015-04-08",2015,"maiden",233
2827,"1423",">1","2015-04-08",2015,"maiden",307
2828,"639","<1","2015-04-08",2015,"maiden",89
2829,"1374","0","2015-04-08",2015,"maiden",91
2830,"657","<1","2015-04-08",2015,"maiden",155
2831,"652","<1","2015-04-08",2015,"multistem",174
2832,"88","0","2015-04-08",2015,"maiden",92
2833,"89","0","2015-04-08",2015,"maiden",82
2834,"90","<1","2015-04-08",2015,"maiden",91
2835,"93","0","2015-04-08",2015,"maiden",106
2836,"1333","0","2015-04-08",2015,"maiden",105
2839,"1356","0","2015-04-08",2015,"maiden",48
2840,"1361",">1","2015-04-08",2015,"maiden",170
2844,"807","<1","2015-04-08",2015,"maiden",61
2846,"80","0","2015-04-09",2015,"maiden",127
2847,"83","<1","2015-04-09",2015,"maiden",105
2848,"94","0","2015-04-09",2015,"maiden",71
2849,"95",">1","2015-04-09",2015,"maiden",125
2850,"96","<1","2015-04-09",2015,"maiden",104
2851,"97","0","2015-04-09",2015,"maiden",125
2852,"1491","0","2015-04-09",2015,"maiden",200
2853,"1542","0","2015-04-09",2015,"maiden",61
2854,"98","<1","2015-04-09",2015,"maiden",94
2855,"77","0","2015-04-09",2015,"maiden",69
2856,"92",">1","2015-04-09",2015,"maiden",94
2857,"694","<1","2015-04-09",2015,"maiden",141
2858,"1677","0","2015-04-09",2015,"maiden",71
2859,"1679","<1","2015-04-09",2015,"maiden",86
2860,"1683","0","2015-04-09",2015,"maiden",59
2861,"1702","0","2015-04-09",2015,"maiden",72
2862,"1704","0","2015-04-09",2015,"maiden",87
2863,"1707","0","2015-04-09",2015,"multistem",86
2864,"925","0","2015-04-09",2015,"maiden",111
2865,"1483","0","2015-04-09",2015,"maiden",100
2866,"1484","0","2015-04-09",2015,"multistem",120
2867,"1697","0","2015-04-09",2015,"maiden",50
2868,"119","0","2015-04-09",2015,"maiden",87
2869,"127","0","2015-04-09",2015,"maiden",171
2870,"128","<1","2015-04-09",2015,"maiden",159
2871,"104","0","2015-04-09",2015,"maiden",78
2872,"693","0","2015-04-09",2015,"maiden",64
2873,"727","0","2015-04-09",2015,"maiden",73
2874,"761","<1","2015-04-09",2015,"maiden",147
2875,"756","0","2015-04-09",2015,"maiden",125
2876,"764","<1","2015-04-09",2015,"multistem",149
2877,"116","<1","2015-04-09",2015,"maiden",133
2878,"1715","0","2015-04-09",2015,"maiden",77
2879,"1740","<1","2015-04-09",2015,"maiden",133
2880,"1746","0","2015-04-09",2015,"maiden",75
2881,"1748","0","2015-04-09",2015,"maiden",47
2882,"1749","0","2015-04-09",2015,"maiden",45
